<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (Nucleocytoplasmic Transport Proteins)>>	<<48>>
<<0 (DNA-Binding Proteins)>>	<<SON>>	<<42>>
<<0 (DNA-Binding Proteins)>>	<<0 (Minor Histocompatibility Antigens)>>	<<41>>
<<0 (Minor Histocompatibility Antigens)>>	<<SON>>	<<41>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<0 (Saccharomyces cerevisiae Proteins)>>	<<38>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<0 (RNA, Messenger)>>	<<37>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (Saccharomyces cerevisiae Proteins)>>	<<36>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (RNA, Messenger)>>	<<36>>
<<0 (RNA, Messenger)>>	<<0 (Saccharomyces cerevisiae Proteins)>>	<<34>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<SON>>	<<33>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<SON>>	<<33>>
<<SON>>	<<0 (RNA, Messenger)>>	<<33>>
<<SON>>	<<0 (Saccharomyces cerevisiae Proteins)>>	<<33>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<0 (Nuclear Pore Complex Proteins)>>	<<24>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (Nuclear Pore Complex Proteins)>>	<<23>>
<<0 (RNA, Messenger)>>	<<RNA, Messenger/*metabolism>>	<<23>>
<<0 (RNA, Messenger)>>	<<0 (Nuclear Pore Complex Proteins)>>	<<23>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<0 (Nuclear Pore Complex Proteins)>>	<<23>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<0 (RNA-Binding Proteins)>>	<<21>>
<<Molecular Sequence Data>>	<<Amino Acid Sequence>>	<<21>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (RNA-Binding Proteins)>>	<<20>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<EC 3.6.1.- (DDX19B protein, human)>>	<<19>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<EC 3.6.1.- (DDX19B protein, human)>>	<<19>>
<<0 (DNA-Binding Proteins)>>	<<Minor Histocompatibility Antigens>>	<<19>>
<<0 (Minor Histocompatibility Antigens)>>	<<Minor Histocompatibility Antigens>>	<<19>>
<<SON>>	<<Minor Histocompatibility Antigens>>	<<19>>
<<SON>>	<<0 (Nuclear Pore Complex Proteins)>>	<<18>>
<<Molecular Sequence Data>>	<<Base Sequence>>	<<18>>
<<0 (RNA-Binding Proteins)>>	<<0 (Saccharomyces cerevisiae Proteins)>>	<<17>>
<<0 (RNA-Binding Proteins)>>	<<0 (RNA, Messenger)>>	<<17>>
<<0 (RNA, Messenger)>>	<<RNA, Messenger/metabolism>>	<<17>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<EC 3.6.4.13 (RNA Helicases)>>	<<16>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<RNA, Messenger/*metabolism>>	<<16>>
<<EC 3.6.4.13 (DEAD-box RNA Helicases)>>	<<0 (Ribonucleoproteins)>>	<<15>>
<<SON>>	<<0 (RNA-Binding Proteins)>>	<<15>>
<<SON>>	<<Mutation>>	<<15>>
<<0 (RNA-Binding Proteins)>>	<<0 (Nuclear Proteins)>>	<<15>>
<<0 (RNA, Messenger)>>	<<EC 3.6.4.13 (RNA Helicases)>>	<<15>>
<<0 (RNA, Messenger)>>	<<0 (GLE1 protein, S cerevisiae)>>	<<15>>
<<0 (Saccharomyces cerevisiae Proteins)>>	<<0 (GLE1 protein, S cerevisiae)>>	<<15>>
<<0 (Ribonucleoproteins)>>	<<0 (messenger ribonucleoprotein)>>	<<15>>
<<0 (Nuclear Pore Complex Proteins)>>	<<0 (GLE1 protein, S cerevisiae)>>	<<15>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<EC 3.6.4.13 (RNA Helicases)>>	<<14>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<RNA, Messenger/*metabolism>>	<<14>>
<<0 (Nucleocytoplasmic Transport Proteins)>>	<<Mutation>>	<<14>>
<<SON>>	<<0 (Nuclear Proteins)>>	<<14>>
<<0 (RNA, Messenger)>>	<<Active Transport, Cell Nucleus>>	<<14>>
<<0 (RNA, Messenger)>>	<<0 (Ribonucleoproteins)>>	<<14>>
