| Entity                                                        | Entity                                                        |   Number of cooccurrences |
|---------------------------------------------------------------+---------------------------------------------------------------+---------------------------|
| phenotypic abnormalities                                      | intellectual disability syndrome                              |                0.125      |
| motor retardation                                             | c.394c>t                                                      |                0.0833333  |
| motor retardation                                             | p.q132x                                                       |                0.0833333  |
| motor retardation                                             | growth and development delay                                  |                0.0833333  |
| c.394c>t                                                      | p.q132x                                                       |                0.0833333  |
| c.394c>t                                                      | growth and development delay                                  |                0.0833333  |
| p.q132x                                                       | growth and development delay                                  |                0.0833333  |
| abnormal brain imaging                                        | multisystemic disorder                                        |                0.0625     |
| abnormal brain imaging                                        | c.5753_5756del                                                |                0.0625     |
| abnormal brain imaging                                        | congenital anomalies                                          |                0.0625     |
| multisystemic disorder                                        | c.5753_5756del                                                |                0.0625     |
| multisystemic disorder                                        | congenital anomalies                                          |                0.0625     |
| c.5753_5756del                                                | congenital anomalies                                          |                0.0625     |
| growth hormone deficiency                                     | amino                                                         |                0.0625     |
| growth hormone deficiency                                     | palmar crease                                                 |                0.0625     |
| growth hormone deficiency                                     | p.ser1766leufs*7                                              |                0.0625     |
| growth hormone deficiency                                     | growth hormone                                                |                0.0625     |
| growth hormone deficiency                                     | autosomal dominant genetic disorder                           |                0.0625     |
| growth hormone deficiency                                     | son variants                                                  |                0.0625     |
| amino                                                         | palmar crease                                                 |                0.0625     |
| amino                                                         | p.ser1766leufs*7                                              |                0.0625     |
| amino                                                         | growth hormone                                                |                0.0625     |
| amino                                                         | autosomal dominant genetic disorder                           |                0.0625     |
| amino                                                         | son variants                                                  |                0.0625     |
| palmar crease                                                 | p.ser1766leufs*7                                              |                0.0625     |
| palmar crease                                                 | growth hormone                                                |                0.0625     |
| palmar crease                                                 | autosomal dominant genetic disorder                           |                0.0625     |
| palmar crease                                                 | son variants                                                  |                0.0625     |
| p.ser1766leufs*7                                              | growth hormone                                                |                0.0625     |
| p.ser1766leufs*7                                              | autosomal dominant genetic disorder                           |                0.0625     |
| p.ser1766leufs*7                                              | son variants                                                  |                0.0625     |
| growth hormone                                                | autosomal dominant genetic disorder                           |                0.0625     |
| growth hormone                                                | son variants                                                  |                0.0625     |
| autosomal dominant genetic disorder                           | son variants                                                  |                0.0625     |
| multisystem developmental disorder                            | visual abnormalities                                          |                0.05       |
| multisystem developmental disorder                            | disability                                                    |                0.05       |
| multisystem developmental disorder                            | retronychia of the toenails                                   |                0.05       |
| multisystem developmental disorder                            | dental abnormalities                                          |                0.05       |
| multisystem developmental disorder                            | delayed psychomotor development                               |                0.05       |
| multisystem developmental disorder                            | skin and nails abnormalities                                  |                0.05       |
| visual abnormalities                                          | disability                                                    |                0.05       |
| visual abnormalities                                          | retronychia of the toenails                                   |                0.05       |
| visual abnormalities                                          | dental abnormalities                                          |                0.05       |
| visual abnormalities                                          | delayed psychomotor development                               |                0.05       |
| visual abnormalities                                          | skin and nails abnormalities                                  |                0.05       |
| disability                                                    | retronychia of the toenails                                   |                0.05       |
| disability                                                    | dental abnormalities                                          |                0.05       |
| disability                                                    | delayed psychomotor development                               |                0.05       |
| disability                                                    | skin and nails abnormalities                                  |                0.05       |
| retronychia of the toenails                                   | dental abnormalities                                          |                0.05       |
| retronychia of the toenails                                   | delayed psychomotor development                               |                0.05       |
| retronychia of the toenails                                   | skin and nails abnormalities                                  |                0.05       |
| dental abnormalities                                          | delayed psychomotor development                               |                0.05       |
| dental abnormalities                                          | skin and nails abnormalities                                  |                0.05       |
| delayed psychomotor development                               | skin and nails abnormalities                                  |                0.05       |
| motor retardation                                             | facial features                                               |                0.0454545  |
| c.394c>t                                                      | facial features                                               |                0.0454545  |
| p.q132x                                                       | facial features                                               |                0.0454545  |
| facial features                                               | growth and development delay                                  |                0.0454545  |
| son                                                           | zttk                                                          |                0.0426829  |
| son haploinsufficiency                                        | phenotypic abnormalities                                      |                0.0416667  |
| son haploinsufficiency                                        | intellectual disability syndrome                              |                0.0416667  |
| facial features                                               | multisystem developmental disorder                            |                0.0384615  |
| facial features                                               | visual abnormalities                                          |                0.0384615  |
| facial features                                               | disability                                                    |                0.0384615  |
| facial features                                               | retronychia of the toenails                                   |                0.0384615  |
| facial features                                               | dental abnormalities                                          |                0.0384615  |
| facial features                                               | delayed psychomotor development                               |                0.0384615  |
| facial features                                               | skin and nails abnormalities                                  |                0.0384615  |
| levetiracetam                                                 | developmental delay                                           |                0.0357143  |
| levetiracetam                                                 | intellectual disabilities                                     |                0.0357143  |
| levetiracetam                                                 | neonatal hypotonia                                            |                0.0357143  |
| levetiracetam                                                 | p. arg1778serfs*11                                            |                0.0357143  |
| levetiracetam                                                 | facial abnormalities                                          |                0.0357143  |
| levetiracetam                                                 | abnormalities in the heart, genitourinary or skeletal systems |                0.0357143  |
| levetiracetam                                                 | c.5334_5335delag                                              |                0.0357143  |
| levetiracetam                                                 | esotropia                                                     |                0.0357143  |
| developmental delay                                           | intellectual disabilities                                     |                0.0357143  |
| developmental delay                                           | neonatal hypotonia                                            |                0.0357143  |
| developmental delay                                           | p. arg1778serfs*11                                            |                0.0357143  |
| developmental delay                                           | facial abnormalities                                          |                0.0357143  |
| developmental delay                                           | abnormalities in the heart, genitourinary or skeletal systems |                0.0357143  |
| developmental delay                                           | c.5334_5335delag                                              |                0.0357143  |
| developmental delay                                           | esotropia                                                     |                0.0357143  |
| intellectual disabilities                                     | neonatal hypotonia                                            |                0.0357143  |
| intellectual disabilities                                     | p. arg1778serfs*11                                            |                0.0357143  |
| intellectual disabilities                                     | facial abnormalities                                          |                0.0357143  |
| intellectual disabilities                                     | abnormalities in the heart, genitourinary or skeletal systems |                0.0357143  |
| intellectual disabilities                                     | c.5334_5335delag                                              |                0.0357143  |
| intellectual disabilities                                     | esotropia                                                     |                0.0357143  |
| neonatal hypotonia                                            | p. arg1778serfs*11                                            |                0.0357143  |
| neonatal hypotonia                                            | facial abnormalities                                          |                0.0357143  |
| neonatal hypotonia                                            | abnormalities in the heart, genitourinary or skeletal systems |                0.0357143  |
| neonatal hypotonia                                            | c.5334_5335delag                                              |                0.0357143  |
| neonatal hypotonia                                            | esotropia                                                     |                0.0357143  |
| p. arg1778serfs*11                                            | facial abnormalities                                          |                0.0357143  |
| p. arg1778serfs*11                                            | abnormalities in the heart, genitourinary or skeletal systems |                0.0357143  |
| p. arg1778serfs*11                                            | c.5334_5335delag                                              |                0.0357143  |
| p. arg1778serfs*11                                            | esotropia                                                     |                0.0357143  |
| facial abnormalities                                          | abnormalities in the heart, genitourinary or skeletal systems |                0.0357143  |
| facial abnormalities                                          | c.5334_5335delag                                              |                0.0357143  |
| facial abnormalities                                          | esotropia                                                     |                0.0357143  |
| abnormalities in the heart, genitourinary or skeletal systems | c.5334_5335delag                                              |                0.0357143  |
| abnormalities in the heart, genitourinary or skeletal systems | esotropia                                                     |                0.0357143  |
| c.5334_5335delag                                              | esotropia                                                     |                0.0357143  |
