| Entity                                                                                                 |   Number of occurrences |
|--------------------------------------------------------------------------------------------------------+-------------------------|
| tfpi                                                                                                   |                   21515 |
| tissue factor                                                                                          |                   14323 |
| tissue factor pathway inhibitor                                                                        |                   14036 |
| tf                                                                                                     |                   10799 |
| thrombin                                                                                               |                    7677 |
| tumor                                                                                                  |                    4400 |
| factor xa                                                                                              |                    3983 |
| thrombosis                                                                                             |                    3777 |
| cancer                                                                                                 |                    3278 |
| antithrombin                                                                                           |                    3229 |
| tfpi-2                                                                                                 |                    3192 |
| factor viia                                                                                            |                    3040 |
| fxa                                                                                                    |                    2869 |
| serine                                                                                                 |                    2778 |
| fibrin                                                                                                 |                    2722 |
| thrombomodulin                                                                                         |                    2716 |
| prothrombin                                                                                            |                    2707 |
| fviia                                                                                                  |                    2658 |
| mice                                                                                                   |                    2419 |
| tissue factor pathway                                                                                  |                    2398 |
| fibrinogen                                                                                             |                    2387 |
| pai-1                                                                                                  |                    2358 |
| protein c                                                                                              |                    2235 |
| protein s                                                                                              |                    2184 |
| mouse                                                                                                  |                    1832 |
| factor vii                                                                                             |                    1755 |
| c                                                                                                      |                    1694 |
| von willebrand                                                                                         |                    1675 |
| factor x                                                                                               |                    1603 |
| tissue factor pathway inhibitor-2                                                                      |                    1569 |
| plasmin                                                                                                |                    1562 |
| atherosclerosis                                                                                        |                    1558 |
| son                                                                                                    |                    1482 |
| activated protein c                                                                                    |                    1463 |
| sepsis                                                                                                 |                    1455 |
| thromboplastin                                                                                         |                    1422 |
| von willebrand factor                                                                                  |                    1415 |
| vwf                                                                                                    |                    1401 |
| antithrombin iii                                                                                       |                    1399 |
| tissue plasminogen activator                                                                           |                    1367 |
| birc6                                                                                                  |                    1350 |
| tm                                                                                                     |                    1292 |
| rat                                                                                                    |                    1245 |
| fx                                                                                                     |                    1244 |
| apc                                                                                                    |                    1239 |
| fvii                                                                                                   |                    1225 |
| tat                                                                                                    |                    1214 |
| cholesterol                                                                                            |                    1206 |
| plasminogen activator inhibitor-1                                                                      |                    1108 |
| n                                                                                                      |                    1060 |
| tfpi antigen                                                                                           |                    1059 |
| tfpi mrna                                                                                              |                    1013 |
| at                                                                                                     |                    1008 |
| tpa                                                                                                    |                     985 |
| rabbit                                                                                                 |                     984 |
| rats                                                                                                   |                     961 |
| t-pa                                                                                                   |                     941 |
| fviii                                                                                                  |                     919 |
| prothrombinase                                                                                         |                     910 |
| tfpialpha                                                                                              |                     898 |
| fix                                                                                                    |                     884 |
| endothelial dysfunction                                                                                |                     857 |
| tissue                                                                                                 |                     857 |
| trypsin                                                                                                |                     853 |
| amino acid                                                                                             |                     843 |
| recombinant tfpi                                                                                       |                     837 |
| cancers                                                                                                |                     814 |
| factor v                                                                                               |                     808 |
| tf mrna                                                                                                |                     806 |
| kunitz                                                                                                 |                     798 |
| cardiovascular disease                                                                                 |                     793 |
| il-6                                                                                                   |                     789 |
| murine                                                                                                 |                     786 |
| inflammation                                                                                           |                     774 |
| rtfpi                                                                                                  |                     757 |
| factor viii                                                                                            |                     743 |
| venous thrombosis                                                                                      |                     743 |
| dic                                                                                                    |                     735 |
| hemophilia                                                                                             |                     734 |
| venous thromboembolism                                                                                 |                     727 |
| calcium                                                                                                |                     713 |
| plasminogen                                                                                            |                     708 |
| tumors                                                                                                 |                     696 |
| fv                                                                                                     |                     691 |
| tnf-alpha                                                                                              |                     685 |
| ldl                                                                                                    |                     675 |
| serine protease                                                                                        |                     664 |
| breast cancer                                                                                          |                     649 |
| kunitz domain                                                                                          |                     644 |
| yeast                                                                                                  |                     638 |
| tfpi gene                                                                                              |                     634 |
| tfpi-1                                                                                                 |                     630 |
| diabetes                                                                                               |                     630 |
| anti-xa                                                                                                |                     629 |
| stroke                                                                                                 |                     628 |
| disseminated intravascular coagulation                                                                 |                     621 |
| coronary artery disease                                                                                |                     614 |
| ps                                                                                                     |                     613 |
| pc                                                                                                     |                     611 |
| myocardial infarction                                                                                  |                     608 |
| full-length tfpi                                                                                       |                     604 |
| rabbits                                                                                                |                     600 |
| bruce                                                                                                  |                     553 |
| tfpi-2 mrna                                                                                            |                     553 |
| activated factor x                                                                                     |                     552 |
| plasma tfpi                                                                                            |                     542 |
| tf pathway inhibitor                                                                                   |                     540 |
| p-selectin                                                                                             |                     540 |
| factor ix                                                                                              |                     533 |
| tafi                                                                                                   |                     533 |
| vte                                                                                                    |                     527 |
| viia                                                                                                   |                     524 |
| xa                                                                                                     |                     523 |
| amino acids                                                                                            |                     510 |
| escherichia coli                                                                                       |                     509 |
| tumor necrosis factor-alpha                                                                            |                     505 |
| bovine                                                                                                 |                     504 |
| nitric oxide                                                                                           |                     491 |
| arginine                                                                                               |                     490 |
| vascular injury                                                                                        |                     487 |
| sulfate                                                                                                |                     483 |
| vegf                                                                                                   |                     480 |
| tissue-type plasminogen activator                                                                      |                     478 |
| apollon                                                                                                |                     475 |
| c-reactive protein                                                                                     |                     474 |
| srsf7                                                                                                  |                     473 |
| coagulopathy                                                                                           |                     467 |
| arterial thrombosis                                                                                    |                     456 |
| ag                                                                                                     |                     450 |
| tissue factor pathway inhibitor 2                                                                      |                     450 |
| glucose                                                                                                |                     449 |
| plasma tf                                                                                              |                     448 |
| tfpi-2 gene                                                                                            |                     441 |
| igg                                                                                                    |                     434 |
| collagen                                                                                               |                     433 |
| insulin                                                                                                |                     430 |
| activated factor vii                                                                                   |                     430 |
| malignancy                                                                                             |                     429 |
| nf-kappab                                                                                              |                     426 |
| tfpibeta                                                                                               |                     426 |
| fva                                                                                                    |                     425 |
| tf antigen                                                                                             |                     420 |
