Disease rank from son to all disease using shortest_path
| Entity                                                                                    |        Rank |
|-------------------------------------------------------------------------------------------+-------------|
| craving for tobacco                                                                       | 1.30556     |
| schizophrenia spectrum disorders                                                          | 1.205       |
| homelessness                                                                              | 1.20061     |
| lysosomal disease                                                                         | 1.14524     |
| malocclusion                                                                              | 1.14286     |
| cleft hand                                                                                | 1.14286     |
| dermatoglyphic and palmar-crease alterations                                              | 1.13333     |
| diffuse glioneuronal tumours                                                              | 1.11765     |
| supine hypotensive syndrome                                                               | 1.11111     |
| dsm disorder                                                                              | 1.10837     |
| acute vasculitis                                                                          | 1.10173     |
| fetal and neonatal thrombotic abnormalities                                               | 1.09091     |
| oligodendroglioma of the cerebellopontine angle                                           | 1.06667     |
| occipital cavernous angioma                                                               | 1.06434     |
| astalavista                                                                               | 1.0625      |
| neuro-oncological                                                                         | 1.05882     |
| ring chromosome 20 syndrome                                                               | 1.03868     |
| cerebral space-occupying lesions                                                          | 1.03846     |
| pediatric brainstem oligodendroglioma                                                     | 1.03801     |
| acute schizophrenia                                                                       | 1.03145     |
| amoebiasis                                                                                | 1.02934     |
| malignant disease of the central nervous system                                           | 1.02793     |
| sex offenders                                                                             | 1.02684     |
| kaposi's sarcoma-associated herpes                                                        | 1.0239      |
| endocrine disorders of reproduction                                                       | 1.02126     |
| fibromyalgia-associated syndromes                                                         | 1.02036     |
| enteric infection                                                                         | 1.01493     |
| indolent infection                                                                        | 1.0126      |
| inflammation and the host response to injury                                              | 1.01227     |
| deficits                                                                                  | 1.00676     |
| wle                                                                                       | 1.00676     |
| reading comprehension difficulties                                                        | 1.00676     |
| sarbecovirus                                                                              | 1.00184     |
| down foetus                                                                               | 1.00124     |
| chronic hepatitis b virus-related liver disease                                           | 1.00123     |
| hbv-induced disease                                                                       | 1.00123     |
| delta-associated liver disease                                                            | 1.00123     |
| fdms                                                                                      | 1.00061     |
| orphaned adolescents                                                                      | 1.00061     |
| terminal illness                                                                          | 1.00061     |
| intracranial space occupying lesions                                                      | 1.00061     |
| postural tachycardia syndrome                                                             | 0.683824    |
| multi-system disorder                                                                     | 0.683824    |
| gel-foam granuloma                                                                        | 0.655689    |
| thrombosis of superficial vessels of the brain                                            | 0.655689    |
| myelomeningocele                                                                          | 0.655689    |
| inflammatory, neoplastic, and cardiac diseases                                            | 0.649       |
| conjugate gaze palsy                                                                      | 0.647676    |
| isolated conjugate gaze palsy                                                             | 0.647676    |
| genomic imprinting disorder                                                               | 0.642857    |
| patent ductus arteriosus closure                                                          | 0.642857    |
| silver and russell syndromes                                                              | 0.642857    |
| paternal disomy                                                                           | 0.642857    |
| malformative syndromes                                                                    | 0.642857    |
| familial tall stature                                                                     | 0.642857    |
| unilateral congenital asymmetry of the extremities                                        | 0.642857    |
| enlargement of the right hand and of the left lower extremity                             | 0.642857    |
| urologic anomalies                                                                        | 0.642857    |
| silver-spoon" syndrome                                                                    | 0.642857    |
| silver-spoon syndrome                                                                     | 0.642857    |
| ring 13 syndrome                                                                          | 0.642857    |
| ring chromosome 13 syndrome                                                               | 0.642857    |
| sialoadenopathy                                                                           | 0.642857    |
| trisomy 12p                                                                               | 0.642857    |
| genetic mental retardation syndromes                                                      | 0.633333    |
| autistic and related communication handicapped children                                   | 0.633333    |
| x-linked intellectual traits                                                              | 0.633333    |
| neurodevelopment                                                                          | 0.633333    |
| mycoplasma                                                                                | 0.626229    |
| awake                                                                                     | 0.626229    |
| immune diseases                                                                           | 0.625       |
| hfpef                                                                                     | 0.617647    |
